Description,38mm dia @200mm,42mm dia @140mm,42mm dia @80mm,Base Angle F,Base Angle BR,Base Angle BL,162mm taper F,162mm taper BR,162mm taper BL,40.5mm taper F,40.5mm taper BR,40.5mm taper BL,Top 1,Top 2,Top 3,Top 4
_80,38.18,42.089,42.182,70.093,69.167,70.1,162.951,162.278,162.616,40.477,40.076,40.222,234.048,234.615,235.09,234.197
81,38.195,42.091,42.165,69.656,69.504,69.916,162.941,162.6,163.048,40.313,40.258,40.373,233.926,234.054,234.468,233.699
82,38.226,42.113,42.143,69.78,70.208,69.824,162.946,163.03,162.476,40.196,40.102,40.438,233.647,234.299,234.151,234.156
83,38.241,42.097,42.016,70.123,69.938,69.977,162.968,162.634,163.022,40.534,40.181,40.501,233.804,234.587,234.912,234.07
84,38.232,42.098,41.991,69.916,69.648,69.581,163.091,162.9,163.007,40.447,40.455,40.33,234.785,233.753,233.799,234.385
85,38.239,42.083,41.888,70.126,69.601,70.124,163.072,162.796,162.835,40.542,40.195,40.463,234.416,235.357,235.613,235.573
86,38.237,42.083,41.875,69.734,69.758,70.472,162.726,162.575,163.183,40.371,40.312,40.624,233.917,235.549,235.177,234.208
87,38.23,42.031,41.942,70.004,69.897,69.825,162.166,162.988,163.203,40.41,40.559,40.455,234.35,235.678,235.627,234.389
88,38.225,42.058,42.026,69.862,69.62,69.694,162.883,163.06,162.482,40.422,40.085,40.175,234.928,236.291,236.628,235.248
89,38.246,42.164,42.235,69.892,69.793,70.269,163.386,163.099,163.239,40.727,40.941,40.611,230.872,230.43,230.778,230.831
90,38.211,42.055,42.176,69.89,69.559,69.554,162.269,162.891,162.842,40.15,40.325,40.126,235.335,235.001,235.499,235.389
91,38.218,42.051,42.181,69.622,69.957,69.688,162.704,163.112,162.544,40.192,40.245,40.313,235.217,235.138,234.355,235.482
93,38.245,42.052,42.1,69.477,69.797,70.103,162.677,162.811,162.844,40.424,40.233,40.543,233.394,235.436,235.468,233.686
94,38.228,42.009,41.991,69.886,70.052,70.124,162.962,163.246,163.043,40.439,40.64,40.428,234.932,233.731,234.66,235.6
95,38.291,42.107,42.07,69.65,70.273,69.821,163.688,163.649,163.585,41.117,41.007,41.115,229.572,230.579,230.358,229.119
96,38.22,42.163,42.296,70.022,70.15,70.073,163.283,163.27,163.487,40.868,40.856,40.88,229.678,230.244,230.773,230.149
97,38.259,42.167,42.203,69.592,69.248,69.822,163.073,163.04,163.501,40.575,40.591,40.701,230.577,231.209,231.275,230.741
98,38.218,42.156,42.363,70.085,70.455,70.088,163.066,162.949,163.108,40.799,40.732,40.655,230.959,230.473,230.019,231.008
100,38.29,42.115,42.179,70.053,70.312,70.19,163.521,163.438,163.53,40.829,40.845,40.928,230.126,231.211,231.588,230.279
