Description,38mm dia @200mm,42mm dia @140mm,42mm dia @80mm,Base Angle F,Base Angle BR,Base Angle BL,162mm taper F,162mm taper BR,162mm taper BL,40.5mm taper F,40.5mm taper BR,40.5mm taper BL,Top 1,Top 2,Top 3,Top 4
28,38.201,42.147,42.247,70.147,70.135,70.057,163.105,163.055,163.226,40.91,40.787,40.742,231.323,230.946,231.073,230.846
29,38.213,42.121,42.198,69.854,69.637,69.724,163.011,162.9,162.828,40.613,40.593,40.406,233.024,232.027,231.522,232.479
30,38.222,42.113,42.169,69.904,69.543,69.989,162.89,162.653,163.098,40.757,40.474,40.481,231.109,232.313,233.081,232.293
31,38.192,42.107,42.125,70.554,70.281,70.863,162.753,162.706,162.893,40.888,40.779,40.801,232.759,231.661,231.302,232.017
32,38.22,42.128,42.061,70.452,69.947,70.516,163.072,163.164,162.852,40.841,40.591,40.691,233.066,231.982,232.306,233.258
33,38.219,42.097,42.008,70.23,70.108,70.133,162.98,162.866,162.754,40.507,40.544,40.678,232.469,234.192,233.859,232.994
34,38.192,42.098,42.024,70.634,70.725,70.679,162.854,162.472,162.796,40.762,41.011,40.923,231.937,233.151,232.367,230.995
35,38.201,42.102,41.932,70.279,70.546,70.561,162.775,163.054,162.921,40.639,40.582,40.833,233.029,234.711,233.793,232.387
36,38.23,42.1,41.906,70.074,70.226,70.381,163.132,162.658,162.766,40.513,40.5,40.673,233.555,234.197,234.11,233.926
37,38.178,42.077,42.3,69.858,70.11,70.022,162.525,162.537,162.558,40.43,40.341,40.404,233.637,234.052,233.35,233.492
38,38.194,42.091,42.252,69.662,69.822,69.863,162.601,163.017,162.975,40.413,40.327,40.29,234.03,234.135,234.006,233.601
39,38.21,42.069,42.22,69.455,69.807,69.742,162.815,162.831,162.762,40.317,40.218,40.407,234.723,235.243,234.704,233.989
40,38.186,42.084,42.215,70.966,70.411,70.371,162.697,163.032,162.865,40.525,40.508,40.544,233.333,233.477,233.515,233.16
41,38.214,42.082,42.149,70.358,70.235,69.84,162.802,163.005,162.665,40.632,40.412,40.616,234.234,234.963,234.692,233.988
42,38.235,42.041,42.108,70.195,70,69.945,162.778,163.331,163.133,40.418,40.29,40.429,234.452,235.353,235.72,235.04
43,38.207,42.083,42.144,70.6,70.269,70.695,162.409,162.656,162.9,40.612,40.596,40.826,233.272,233.788,233.399,232.972
44,38.227,42.07,42.063,69.994,69.982,70.679,162.151,162.732,163.047,40.362,40.708,40.592,234.315,235.418,235.631,234.961
45,38.241,42.03,42.021,70.184,70.473,70.095,162.862,162.94,162.631,40.599,40.281,40.542,234.961,235.443,235.46,234.946
46,38.214,42.125,42.156,70.11,70.156,69.981,163.006,163.113,162.98,40.763,40.805,40.819,232.088,233.158,232.299,230.974
47,38.221,42.12,42.139,70.074,70.032,70.014,163.124,163.276,162.813,40.636,40.729,40.774,232.871,232.561,231.753,233.313
48,38.22,42.115,42.117,70.011,70.508,70.073,162.939,162.595,162.772,40.817,40.595,40.648,232.331,233.645,233.165,232.521
49,38.208,42.104,42.115,70.102,70.212,69.682,162.93,162.699,162.94,40.513,40.535,40.719,233.435,234.284,233.736,233.095
50,38.217,42.119,42.127,69.809,69.97,69.897,162.72,162.946,162.633,40.708,40.279,40.449,233.609,234.547,234.057,233.795
